央视频道,#genre#
东方卫视,http://39.134.13.35:6610/180000001001/00000001000000000008000000047445/index.m3u8?
东方卫视,http://39.134.240.3/PLTV/2/224/3221226208/index.m3u8
东方卫视,http://39.134.240.3/PLTV/2/224/3221226088/index.m3u8
东方卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226155/index.m3u8
北京卫视,http://39.134.240.3/PLTV/2/224/3221225890/index.m3u8
北京卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226224/1.m3u8
北京卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226367/1.m3u8
北京卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226441/1.m3u8
北京卫视,http://39.134.13.35:6610/180000001001/00000001000000000008000000047443/index.m3u8? 
北京卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226161/index.m3u8
北京卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226270/index.m3u8
四川卫视,http://39.134.240.3/PLTV/2/224/3221225982/index.m3u8
四川卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226307/index.m3u8
天津卫视,http://39.134.240.3/PLTV/2/224/3221225898/index.m3u8
天津卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226246/1.m3u8
天津卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226502/1.m3u8
天津卫视,http://39.134.13.35:6610/180000001001/00000001000000000008000000047444/index.m3u8?
天津卫视,http://39.134.240.3/PLTV/2/224/3221226206/index.m3u8
天津卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226191/index.m3u8
安徽卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226223/1.m3u8
安徽卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226499/1.m3u8
安徽卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226205/index.m3u8
安徽卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226311/index.m3u8
山东卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226244/1.m3u8 
山东卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226501/1.m3u8
山东卫视,http://39.134.240.3/PLTV/2/224/3221226214/index.m3u8
山东卫视,http://39.134.13.35:6610/180000001001/00000001000000000008000000047448/index.m3u8? 
山东卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226162/index.m3u8
山东卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226297/index.m3u8
广东卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226238/1.m3u8
广东卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226508/1.m3u8
广东卫视,http://39.134.240.3/PLTV/2/224/3221225970/index.m3u8
广东卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226180/index.m3u8
广东卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226293/index.m3u8
广西卫视,http://39.134.240.3/PLTV/2/224/3221225978/index.m3u8
江苏卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226242/1.m3u8
江苏卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226366/1.m3u8
江苏卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226506/1.m3u8
江苏卫视,http://39.134.240.3/PLTV/2/224/3221226136/index.m3u8
江苏卫视,http://39.134.13.35:6610/180000001001/00000001000000000007000000001244/index.m3u8?
江苏卫视,http://39.134.240.3/PLTV/2/224/3221225888/index.m3u8
江苏卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226157/index.m3u8
江苏卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226264/index.m3u8
江西卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226243/1.m3u8
江西卫视,http://39.134.240.3/PLTV/2/224/3221225972/index.m3u8
江西卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226207/index.m3u8
江西卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226305/index.m3u8
河北卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226507/1.m3u8
浙江卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226247/1.m3u8
浙江卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226365/1.m3u8
浙江卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226504/1.m3u8
浙江卫视,http://39.134.240.3/PLTV/2/224/3221226148/index.m3u8
浙江卫视,http://39.134.240.3/PLTV/2/224/3221225781/index.m3u8
浙江卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226144/index.m3u8
浙江卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226266/index.m3u8
深圳卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226245/1.m3u8
深圳卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226495/1.m3u8
深圳卫视,http://39.134.240.3/PLTV/2/224/3221226210/index.m3u8
深圳卫视,http://39.134.13.35:6610/180000001001/00000001000000000008000000047446/index.m3u8?
深圳卫视,http://39.134.240.3/PLTV/2/224/3221225892/index.m3u8
深圳卫视,http://39.134.39.28:80/PLTV/88888888/224/3221226274/index.m3u8
湖北卫视,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226240/1.m3u8 
